Ocean,Group,Island,Native bird species,Extant Natives,Extinct historic natives,Extinct island endemic,island endemic,extinct non-endemic,non-endemic,Alien bird species,number native bird species threatened ,island area,island elevation,first colonization date,isolation,latitude,exotic mammal species,predators,herbivores,Latitude (Matched),Longitude,Population
Pacific,Pitcairns,Ducie,11,11,0,0,7,0,4,0,2,0.7,4,1000,5600,-25,0,0,0,-24.683333, -124.783333,0
Pacific,Easter,Easterisland,30,1,0,18,19,11,11,3,0,173,511,1500,3700,-26,1,1,0,-27.116667, -109.366667,5761
Pacific,Galapagos,Espanola,20,20,0,0,13,0,7,0,3,58.27,198,465,960,0,2,1,1,-1.366667, -89.683333,10240
Pacific,Galapagos,Fernandina,35,35,0,0,21,0,14,0,5,628.5,1494,465,960,0,1,1,0,-0.37, -91.55,11705
Pacific,Galapagos,Floreana,37,32,5,4,18,1,19,0,2,.,.,465,960,0,8,5,3,-1.2975, -90.434167,100
Pacific,Galapagos,Genovesa,21,21,0,0,11,0,10,0,1,17.35,76,465,960,0,1,1,0,0.316667, -89.95,2200
Pacific,Marianas,Guam,20,9,11,8,11,3,9,7,1,541,393,3000,1800,16,8,5,3,13.5, 144.8,159358
Pacific,Marianas,Guguan,14,14,0,0,8,0,6,0,1,4,301,3000,1800,16,0,0,0,17.310833, 145.841667,0
Pacific,HawaiianIslands,Hawaii,41,24,11,17,35,0,6,34,12,10434,4169,1400,3700,21,11,4,7,19.566667, -155.5,1392000
Pacific,Pitcairns,Henderson,26,14,2,9,19,3,7,0,6,37.3,33,1000,5600,-25,0,0,0,-24.35, -128.316667,0
Pacific,SocietyIslands,Huahine,35,5,7,23,25,7,10,2,0,82.1,669,3000,4400,-17,1,1,0,-16.73, -151,5999
Pacific,Galapagos,Isabela,44,43,1,1,22,0,22,0,6,4711.3,1707,465,960,0,9,5,4,-0.5, -91.066667,1489645
Pacific,HawaiianIslands,Kauai,44,30,1,14,34,0,10,27,11,1434.6,1598,1400,3700,21,8,4,4,22.083333, -159.5,65689
Pacific,HawaiianIslands,Lanai,19,11,7,8,14,0,5,24,1,358.4,1027,1400,3700,21,8,4,4,20.833333, -156.933333,3102
Pacific,Australasia,LittleSolander,14,14,0,0,5,0,9,3,1,0.08,148,.,.,.,0,0,0,-46.566667, 166.883333,0
Pacific,Australasia,LordHowe,28,18,9,9,17,1,11,5,1,14.6,875,200,600,-32,4,3,1,-31.55, 159.083333,347
Pacific,Australasia,Macquarie,28,26,2,1,12,1,16,3,6,122.5,433,.,.,-53,7,5,2,-54.6167, 158.85,0
Pacific,SocietyIslands,Maiao,6,6,0,0,1,0,5,0,0,9.5,154,3000,4400,-17,0,0,0,-17.65, -150.633333,0
Pacific,CookIslands,Mangaia,30,13,0,15,22,2,8,2,1,34.5,169,3000,4200,-20,2,2,0,-21.921389, -157.923056,744
Pacific,CookIslands,Manihiki,5,5,0,0,1,0,4,0,0,5.2,.,3000,4200,-20,2,2,0,-10.4, -161,468
Pacific,CookIslands,Manuae,3,3,0,0,1,0,2,1,0,7.4,.,3000,4200,-20,0,0,0,-19.2575, -158.938889,0
Pacific,Marianas,Maug,11,11,0,0,5,0,6,0,1,2,227,3000,1800,16,0,0,0,20.033333, 145.216667,0
Pacific,HawaiianIslands,Maui,53,22,4,30,43,1,10,27,7,1903.3,3052,1400,3700,21,9,5,4,20.8, -156.333333,144444
Pacific,CookIslands,Mauke,8,5,3,2,4,1,4,1,0,19.7,30,3000,4200,-20,4,3,1,-20.1583, -157.3417,300
Pacific,SocietyIslands,Maupiti,2,1,1,1,2,0,0,0,0,5,213,3000,4400,-17,1,1,0,-16.416667, -152.25,1200
Pacific,Marianas,Medinilla,5,5,0,0,1,0,4,0,0,0.9,81,3000,1800,16,0,0,0,16.017222, 146.058611,0
Pacific,SocietyIslands,Mehetia,5,4,1,1,2,0,3,0,0,2,433,3000,4400,-17,1,0,1,-17.866667, -148.066667,0
Pacific,CookIslands,Mitiaro,10,8,2,2,6,0,4,0,0,22.8,.,3000,4200,-20,0,0,0,-19.866667, -157.7,219
Pacific,HawaiianIslands,Molokai,42,15,7,26,35,1,7,23,3,677.9,1515,1400,3700,21,10,5,5,21.133333, -157.033333,7404
Pacific,SocietyIslands,Moorea,11,8,3,3,8,0,3,7,1,132,1207,3000,4400,-17,2,2,0,-17.533333, -149.833333,16191
Pacific,SocietyIslands,Mopelia,2,2,0,0,1,0,1,0,1,.,.,3000,4400,-17,0,0,0,-16.8, -153.95,10
Pacific,CookIslands,Nassau,2,2,0,0,1,0,1,0,0,1.2,.,3000,4200,-20,1,1,0,-11.567778, -165.406944,248948
Pacific,Australasia,NewCaledonia,106,92,2,13,54,1,52,7,7,16648.4,1618,3000,1250,-22,10,6,4,-21.25, 165.3,256000
Pacific,Australasia,Norfolk,33,25,7,8,17,0,16,11,5,36.8,318,900,1300,-28,5,3,2,-29.033333, 167.95,2169
Pacific,NZ,North,100,49,18,44,73,7,27,37,9,111582.8,2796,800,1800,-37,23,10,13,38.4,175.7167,3422000
